cell_id,marker_a,marker_b,irregularity,growth_signal,actual_cancer,cancer_probability,decision
1,0.3768,0.4526,0.0,0.4466,False,0.3343,UNCERTAIN
2,0.9103,0.8339,0.5607,0.8843,True,0.8161,UNCERTAIN
3,0.5354,0.1642,0.6112,0.2537,False,0.4014,UNCERTAIN
4,0.8161,0.6898,0.2923,0.6636,True,0.6492,UNCERTAIN
5,0.0,0.0007,0.3467,0.2756,False,0.1246,PASS
6,0.9223,0.5623,0.7248,0.8868,True,0.7857,UNCERTAIN
7,0.1331,0.2201,0.0349,0.0512,False,0.1188,PASS
8,0.277,0.3056,0.2274,0.5386,False,0.3266,UNCERTAIN
9,0.2549,0.1069,0.1147,0.367,False,0.2123,PASS
10,0.3988,0.6624,0.9495,0.7953,True,0.6541,UNCERTAIN
11,0.4808,0.6824,0.5481,0.2824,True,0.505,UNCERTAIN
12,0.5041,0.1071,0.3097,0.4457,False,0.3543,UNCERTAIN
13,0.5064,0.3581,0.5323,0.3036,False,0.4339,UNCERTAIN
14,0.1395,0.1963,0.1584,0.4019,False,0.21,PASS
15,1.0,0.7276,1.0,0.7929,True,0.8905,TARGET
16,0.5424,0.2466,0.0359,0.3909,False,0.3369,UNCERTAIN
17,0.3841,0.2133,0.2643,0.0895,False,0.2585,PASS
18,0.3621,0.2586,0.29,0.5126,False,0.3519,UNCERTAIN
19,0.9539,0.8519,0.6573,1.0,True,0.8783,TARGET
20,0.0,0.2681,0.408,0.1423,False,0.1771,PASS
21,0.0,0.4594,0.1854,0.3128,False,0.2145,PASS
22,0.1564,0.4617,0.0,0.203,False,0.2108,PASS
23,0.2762,0.4889,0.3924,0.3755,False,0.3725,UNCERTAIN
24,0.6034,0.8327,0.6223,1.0,True,0.7438,UNCERTAIN
25,0.1762,0.3597,0.0,0.2319,False,0.198,PASS
26,0.0,0.6738,0.3346,0.0,False,0.2354,PASS
27,1.0,0.8326,0.5811,0.5228,True,0.7789,UNCERTAIN
28,0.4337,0.3715,0.0966,0.2743,False,0.3189,UNCERTAIN
29,0.2986,0.7816,0.8499,0.9743,True,0.6648,UNCERTAIN
30,0.2103,0.2974,0.0,0.2404,False,0.196,PASS
31,0.2803,0.3436,0.3022,0.1185,False,0.2682,PASS
32,0.1653,0.1499,0.0,0.271,False,0.1495,PASS
33,0.2444,0.1972,0.3314,0.0728,False,0.2157,PASS
34,1.0,0.8284,0.776,0.8234,True,0.877,TARGET
